Date,Close
04-30-2016,454.21
05-01-2016,453.87
05-02-2016,451.54
05-03-2016,450.87
05-04-2016,449.19
05-05-2016,461.48
05-06-2016,460.61
05-07-2016,460.18
05-08-2016,464.18
05-09-2016,462.14
05-10-2016,456.15
05-11-2016,455.34
05-12-2016,457.22
05-13-2016,457.74
05-14-2016,460.28
05-15-2016,459.57
05-16-2016,456.3
05-17-2016,456.65
05-18-2016,455.19
05-19-2016,447.76
05-20-2016,445.24
05-21-2016,444.24
05-22-2016,444.99
05-23-2016,447.9
05-24-2016,451.21
05-25-2016,454.25
05-26-2016,479.22
05-27-2016,531.76
05-28-2016,548.04
05-29-2016,544.18
05-30-2016,546.92
05-31-2016,542.26
06-01-2016,541.55
06-02-2016,573.72
06-03-2016,592.68
06-04-2016,583.64
06-05-2016,586.73
06-06-2016,591.32
06-07-2016,582.44
06-08-2016,580.71
06-09-2016,579.26
06-10-2016,592.61
06-11-2016,683.85
06-12-2016,718.24
06-13-2016,702.52
06-14-2016,695.07
06-15-2016,769.73
06-16-2016,771.89
06-17-2016,776.04
06-18-2016,765.1
06-19-2016,764.6
06-20-2016,732.23
06-21-2016,677.8
06-22-2016,629.55
06-23-2016,687.39
06-24-2016,688.1
06-25-2016,665.19
06-26-2016,650.34
06-27-2016,659.27
06-28-2016,645.91
06-29-2016,673.04
06-30-2016,685.11
07-01-2016,700.46
07-02-2016,701.49
07-03-2016,679.03
07-04-2016,679.19
07-05-2016,678.39
07-06-2016,676.19
07-07-2016,663.43
07-08-2016,663.49
07-09-2016,651.98
07-10-2016,657.47
07-11-2016,673.19
07-12-2016,672.02
07-13-2016,661.88
07-14-2016,667.46
07-15-2016,665.41
07-16-2016,680.94
07-17-2016,680.42
07-18-2016,673.24
07-19-2016,672.29
07-20-2016,666.51
07-21-2016,669.44
07-22-2016,658.17
07-23-2016,664.21
07-24-2016,662.51
07-25-2016,657.76
07-26-2016,659.08
07-27-2016,657.96
07-28-2016,657.4
07-29-2016,657.55
07-30-2016,654.92
07-31-2016,627.89
08-01-2016,613.75
08-02-2016,573.06
08-03-2016,584.89
08-04-2016,579.97
08-05-2016,596.68
08-06-2016,596.01
08-07-2016,594.24
08-08-2016,591.2
08-09-2016,600.52
08-10-2016,599.15
08-11-2016,591.14
08-12-2016,590.07
08-13-2016,585.8
08-14-2016,574.97
08-15-2016,583.38
08-16-2016,581.1
08-17-2016,579.53
08-18-2016,577.86
08-19-2016,583.5
08-20-2016,585.32
08-21-2016,591.9
08-22-2016,589.87
08-23-2016,584.47
08-24-2016,580.71
08-25-2016,582.73
08-26-2016,580.41
08-27-2016,576.32
08-28-2016,578.61
08-29-2016,579.94
08-30-2016,578.25
08-31-2016,704.97
09-01-2016,577.6
09-02-2016,604.97
09-03-2016,615.2
09-04-2016,610.61
09-05-2016,611.95
09-06-2016,616.48
09-07-2016,629.3
09-08-2016,627.58
09-09-2016,627.45
09-10-2016,630.77
09-11-2016,610.62
09-12-2016,612.03
09-13-2016,612.16
09-14-2016,610.73
09-15-2016,610.36
09-16-2016,609.61
09-17-2016,612.38
09-18-2016,612.41
09-19-2016,611.27
09-20-2016,608.82
09-21-2016,599.78
09-22-2016,603.7
09-23-2016,605.92
09-24-2016,604.87
09-25-2016,608.46
09-26-2016,608.97
09-27-2016,606.9
09-28-2016,607.23
09-29-2016,608.78
09-30-2016,615
10-01-2016,614.21
10-02-2016,613.2
10-03-2016,612.68
10-04-2016,613.65
10-05-2016,612.68
10-06-2016,619.43
10-07-2016,619.56
10-08-2016,618.35
10-09-2016,618.81
10-10-2016,642.35
10-11-2016,642.51
10-12-2016,639.52
10-13-2016,640.46
10-14-2016,641.4
10-15-2016,642.18
10-16-2016,641.29
10-17-2016,639.34
10-18-2016,637.27
10-19-2016,630.83
10-20-2016,633.26
10-21-2016,659.89
10-22-2016,661.2
10-23-2016,654.32
10-24-2016,662.54
10-25-2016,678.39
